name,address,locality,phone,dup check
Lucky Dragon,8136 Main St,"Garrettsville, OH 44231",(330) 527-0669,1
Wendy's,4277 Monroe St,"Toledo, OH 43606",(419) 472-4635,1
McDonald's,3160 Medina Rd,"Medina, OH 44256",(330) 723-4880,1
Jim's Pizza,6556 Union Rd,"Clayton, OH 45315",(937) 832-1970,1
Stan the Donut Man,1441 Wilmington Ave,"Dayton, OH 45420",(937) 293-1080,1
Perkins Restaurant & Bakery,3360 Westbourne Dr,"Cincinnati, OH 45248",(513) 574-3720,1
Pillitiere's Restaurant,61 E Waterloo Rd,"Akron, OH 44319",(330) 773-3934,1
Lacy's Sport Stop,1520 Mitchell Blvd,"Springfield, OH 45503",(937) 399-1886,1
Burger King,1555 W Galbraith Rd,"Cincinnati, OH 45231",(513) 931-3931,1
Chili's Grill & Bar,4801 Talmadge Rd,"Toledo, OH 43623",(419) 472-7688,1
Time Out Sports Bar & Grill,7160 State Route 303,"Windham, OH 44288",(330) 527-9080,1
Classics Sports Bar,12981 Stonecreek Dr,"Pickerington, OH 43147",(614) 759-1720,1
Wendy's,1234 S Shannon St,"Van Wert, OH 45891",(419) 238-2813,1
Teamz Restaurant & Bar,6611 Eastland Rd,"Cleveland, OH 44130",(440) 243-7288,1
Corky's Thomastown Cafe,1131 S Arlington St,"Akron, OH 44306",(330) 724-3338,1
Landerbrook Cafe,5900 Landerbrook Dr,"Cleveland, OH 44124",(440) 442-7788,1
McDonald's,10411 Saint Clair Ave,"Cleveland, OH 44108",(216) 761-8622,1
Mark Pi's Express,1168 Hebron Rd,"Heath, OH 43056",(740) 788-8821,1
Dairy Yum-Yum II,1105 S 2nd St,"Ripley, OH 45167",(937) 392-1592,1
Subway,6347 Tussing Rd,"Reynoldsburg, OH 43068",(614) 759-7827,1
King Buffet Chinese Restaurant,50637 Valley Plaza Dr,"Saint Clairsville, OH 43950",(740) 699-0355,1
East of Chicago Pizza,4925 W Main,"Berlin, OH 44610",(330) 893-1717,1
Woody's Place,3829 S Main St,"Akron, OH 44319",(330) 644-1051,1
Dairy Queen Grill & Chill,1150 E Main St,"Lancaster, OH 43130",(740) 653-7257,1
Station House 81,11 Front St,"Orient, OH 43146",(614) 877-0000,1
Subway,6902 Detroit Ave,"Cleveland, OH 44102",(216) 651-3337,1
Whistle Stop Inn,100 N Main St,"North Baltimore, OH 45872",(419) 257-0203,2
Guido Pizza Haven & Restaurant,12809 Chillicothe Rd,"Chesterland, OH 44026",(440) 729-9666,1
Rocco's Pizza,1053 Portage Trl,"Cuyahoga Falls, OH 44221",(330) 928-3344,1
Gino's Pizza & Spaghetti House,2670 Woodville Rd,"Northwood, OH 43619",(419) 690-4466,1
Dale's Bar & Grill,322 Conant St,"Maumee, OH 43537",(419) 893-3113,1
Just Pies Inc,736 Northfield Rd Ste 1,"Westerville, OH 43082",(614) 818-9300,1
Arby's,2073 E Market St,"Akron, OH 44312",(330) 733-5808,1
China House,936 Main St,"Hamilton, OH 45013",(513) 869-8888,1
Sonic Drive-In,1291 Hill Rd N,"Pickerington, OH 43147",(614) 863-5629,1
Mr. Hero,2525 Romig Rd,"Akron, OH 44320",(330) 753-7686,1
Popeyes Louisiana Kitchen,6225 Glenway Ave,"Cincinnati, OH 45211",(513) 662-2191,1
Perkins Restaurant & Bakery,7175 Engle Rd,"Middleburg Heights, OH 44130",(440) 234-7393,1
Skyline Chili,5476 Glenway Ave,"Cincinnati, OH 45238",(513) 451-3355,1
Lee's Famous Recipe Chicken,620 Arlington Rd,"Brookville, OH 45309",(937) 770-1426,1
The Bottom Line,2053 Starr Ave,"Toledo, OH 43605",(419) 693-6720,1
Mamadou Camara,3304 Imani Dr,"Columbus, OH 43224",(614) 473-9507,1
Arloi Dee Restaurant,18 E 7th St,"Cincinnati, OH 45202",(513) 421-1511,1
R & L Banquet Center,781 5th Ave,"Mansfield, OH 44905",(419) 524-5166,1
Run of the Mill Tavern,3774 Fishinger Blvd,"Hilliard, OH 43026",(614) 777-1773,1
Subway,511 N Main St,"Orrville, OH 44667",(330) 682-7827,1
Wendy's,50 Massillon Marketplace Dr SW,"Massillon, OH 44646",(330) 830-9771,1
Wendy's,11031 Fairoaks Rd NE,"Bolivar, OH 44612",(330) 874-3145,1
Wendy's,4873 Airway Rd,"Dayton, OH 45431",(937) 502-4268,1
Siam Pad Thai,3027 Wilmington Pike,"Dayton, OH 45429",(937) 293-9606,1
Lake Nina Restaurant,7200 Pippin Rd,"Cincinnati, OH 45239",(513) 521-4020,1
Jonny 0's,164 N Main St,"Magnolia, OH 44643",(330) 866-4545,1
Santosuosso's Pizza Pasta Vino,3725 Medina Rd,"Medina, OH 44256",(330) 764-9888,2
Raising Cane's Chicken Fingers,2823 Olentangy River Rd,"Columbus, OH 43202",(614) 261-0011,1
625 Frisch's Big Boy Restaurant,3537 Secor Rd,"Toledo, OH 43606",(419) 531-5355,1
Taco Bell,3990 E Harbor Rd,"Port Clinton, OH 43452",(419) 734-6545,1
Denny's,8111 Day Dr,"Parma, OH 44129",(440) 845-5094,1
China Chef,6328 Pearl Rd,"Cleveland, OH 44130",(440) 888-8999,1
Arby's,3030 Atlantic Blvd NE,"Canton, OH 44705",(330) 430-9565,1
House of Japan,6153 Parkcenter Cir,"Dublin, OH 43017",(614) 792-2445,1
Papa Johns Pizza,545 Clough Pike,"Cincinnati, OH 45244",(513) 528-0022,1
China Buffet,1788 Morse Rd,"Columbus, OH 43229",(614) 848-3628,1
Cafe Martin,2 Garfield Pl,"Cincinnati, OH 45202",(513) 421-2888,1
Number One Chinese Restaurant,129 S Main St,"Woodsfield, OH 43793",(740) 472-3282,1
Chin's Pagoda Restaurant & Lounge,30708 Lake Shore Blvd,"Willowick, OH 44095",(440) 944-8118,1
Dragon City,3031 N Gettysburg Ave,"Dayton, OH 45406",(937) 274-3366,1
Antone's Banquet Center & Gourmet Catering,8578 Market St,"Youngstown, OH 44512",(330) 726-2454,1
Subway,4921 Vine St,"Cincinnati, OH 45217",(513) 242-5822,1
Potbelly Sandwich Works,28 Fountain Square Plz,"Cincinnati, OH 45202",(513) 381-5572,1
Tom's Ice Cream Bowl,532 Mcintire Ave,"Zanesville, OH 43701",(740) 452-5267,1
Wendy's,26630 Dixie Hwy,"Perrysburg, OH 43551",(419) 872-2523,1
China Kitchen,323 Ludlow Ave,"Cincinnati, OH 45220",(513) 221-5333,1
Jet's Pizza,3858 Main St,"Hilliard, OH 43026",(614) 771-0500,1
Francois's Lounge,657 Norton Ave,"Barberton, OH 44203",(330) 745-0117,1
Denny's,68296 Red Roof Ln,"St Clairsvle, OH 43950",(740) 695-2036,1
Sidelines Bar & Grill,1165 Pearl Rd,"Brunswick, OH 44212",(330) 220-0888,1
Subway,608 S Main St,"Findlay, OH 45840",(419) 422-7111,1
Papa's Tavern,1328 Liberty St,"Toledo, OH 43605",(419) 697-0644,1
Tasty Jones',1714 Merriman Rd,"Akron, OH 44313",(330) 835-9030,1
Blue Bell Diner,2 W Main St,"Mcconnelsville, OH 43756",(740) 962-3939,2
Subway,16 Mansfield Ave,"Shelby, OH 44875",(419) 347-4844,1
Harvard Dollar,6624 Harvard Ave,"Cleveland, OH 44105",(216) 417-0305,1
McDonald's,101 N Garver Rd,"Monroe, OH 45050",(513) 539-2631,1
Fricker's,1410 W Main Cross St,"Findlay, OH 45840",(419) 423-9464,1
Encore Restaurant,826 Front St,"Berea, OH 44017",(440) 234-4252,2
Holly Hill Farms,7127 E Main St,"Reynoldsburg, OH 43068",(614) 575-2009,1
A J's Drive Thru,417 Russell Ave,"Akron, OH 44307",(330) 374-7750,1
Village Pizza,14 S Main St,"Jeffersonville, OH 43128",(740) 426-9236,1
Steak Out,4618 Main Ave,"Ashtabula, OH 44004",(440) 992-3013,1
Dublos Carryout,6 Madison St,"Norwalk, OH 44857",(419) 668-1320,1
Miss Molly's Bakery & Cafe,47 E Center St,"Farmersville, OH 45325",(937) 696-3602,1
Giminetti Baking Company,2900 Gilbert Ave,"Walnut Hills, OH 45206",(513) 751-7655,1
Hillzy's,2008 State Highway 199,"Carey, OH 43316",(419) 396-7738,1
Pounders Bar & Grill,6370 York Rd Ste 5,"Cleveland, OH 44130",(440) 887-0185,1
Lamancusa Tavern,15 S Davis St,"Girard, OH 44420",(330) 545-8903,1
McDonald's,2441 Lockbourne Rd,"Columbus, OH 43207",(614) 497-0364,1
Chili's Grill & Bar,11329 Montgomery Rd,"Cincinnati, OH 45249",(513) 469-9888,1
White Oak Delicatessen,6035 Cheviot Rd,"Cincinnati, OH 45247",(513) 385-2166,1
Steak 'n Shake,889 N Bridge St,"Chillicothe, OH 45601",(740) 217-1194,1
Village Pizza & Drive Thru,302 S Miami Ave,"Bradford, OH 45308",(937) 448-2926,1
Park Lanes,249 Park Ave,"Amherst, OH 44001",(440) 988-4001,1
Oven Fresh Pizza,96 E Broad St,"Newton Falls, OH 44444",(330) 872-5577,1
Arby's,6735 Dixie Hwy,"Fairfield, OH 45014",(513) 870-0228,1
McDonald's,36390 Euclid Ave,"Willoughby, OH 44094",(440) 942-7792,1
East of Chicago Pizza,614 Claremont Ave,"Ashland, OH 44805",(419) 289-0605,1
Kfc,6444 Glenway Ave,"Cincinnati, OH 45211",(513) 574-2395,1
My Bar,3534 W Dublin Granville Rd,"Columbus, OH 43235",(614) 734-0417,1
Village Pizza & Sub's,125 State Route 18,"Sherwood, OH 43556",(419) 899-4090,1
Pizzi Cafe,709 Harbor St,"Conneaut, OH 44030",(440) 599-8666,1
Deb's Diner,3214 State Rd,"Ashtabula, OH 44004",(440) 997-0066,1
Freeway Lanes Bowling Group,7300 Palisades Pkwy,"Mentor, OH 44060",(440) 946-5131,1
Cecil & Lime,227 E Cecil St,"Springfield, OH 45503",(937) 322-7950,1
Dairy Queen,1225 Allentown Rd,"Lima, OH 45805",(419) 224-4926,1
Domino's Pizza,5892 Fulton Dr NW,"Canton, OH 44718",(330) 966-9999,1
Subway,8288 Cincinnati Dayton Rd,"West Chester, OH 45069",(513) 759-1872,1
Capoziello's Catering,433 S Hamilton Rd,"Gahanna, OH 43230",(614) 237-1414,1
Grand Valley House of Pizza,30 E Main St,"Orwell, OH 44076",(440) 437-3000,1
Mehlman's Cafeteria,51800 National Rd,"Saint Clairsville, OH 43950",(740) 695-1000,1
Steak 'n Shake,2081 Marion Mount Gilead Rd,"Marion, OH 43302",(740) 725-1112,1
Rio's Pizzeria,2097 Front St,"Cuyahoga Falls, OH 44221",(330) 928-9011,1
Great Dragon,1983 S Baney Rd,"Ashland, OH 44805",(419) 289-1688,1
China Garden Restaurant,405 W Main St,"Louisville, OH 44641",(330) 875-5568,1
Variety Restaurant,2843 Lincoln Way E,"Massillon, OH 44646",(330) 832-7305,1
Belleria Pizza & Italian Restaurant,3460 S Meridian Rd,"Youngstown, OH 44511",(330) 792-0338,1
Depot,80 Grant St,"Rittman, OH 44270",(330) 925-2600,1
Fratello's,32085 Electric Blvd,"Avon Lake, OH 44012",(440) 933-3380,1
Wedge Inn,7905 Colerain Ave,"Cincinnati, OH 45239",(513) 522-9389,1
Paul's Pizza,136 N High St,"Covington, OH 45318",(937) 473-2268,1
Harmony Grill,1401 Mcguffey Rd,"Youngstown, OH 44505",(330) 746-9099,1
Nervous Dog Coffee Bar,1530 W Market St,"Akron, OH 44313",(330) 864-2326,1
Taco Bell,1108 Lincoln Way E,"Massillon, OH 44646",(330) 833-0558,1
Romeo's Pizza,354 Chestnut Commons Dr,"Elyria, OH 44035",(440) 366-5452,1
Bob Evans Restaurant,3800 S High St,"Columbus, OH 43207",(614) 497-2755,1
Mark Pi's Express,3849 E Broad St,"Columbus, OH 43213",(614) 231-3975,1
Starbucks Coffee,5440 Dixie Hwy,"Fairfield, OH 45014",(513) 939-2999,1
CiCi's Pizza,1677 Marion Mount Gilead Rd Ste 100,"Marion, OH 43302",(740) 386-2191,1
Arby's,61 SE Catawba Rd,"Port Clinton, OH 43452",(419) 734-6697,1
The Dolphin Lounge,345 Agler Rd,"Columbus, OH 43230",(614) 475-9944,1
Zeppe's Pizzeria,5514 Lake Rd E,"Geneva, OH 44041",(440) 415-0901,1
Starbucks Coffee,19 W Bridge St,"Dublin, OH 43017",(614) 210-0188,1
Bonefish Grill,2737 Madison Rd,"Cincinnati, OH 45209",(513) 321-5222,1
East Oak Grill,872 Oak Ave SE,"Massillon, OH 44646",(330) 837-3333,1
Dewey's Pizza,7767 Kenwood Rd,"Cincinnati, OH 45236",(513) 791-1616,1
Hickory Lake Inn,14592 Stone Rd,"Newbury, OH 44065",(440) 564-9735,1
Parkside Cafe,1026 E Mcmillan St,"Cincinnati, OH 45206",(513) 221-2026,1
Nate's Deli,22098 Lorain Rd,"Cleveland, OH 44126",(440) 734-9009,1
Sheri's Coffee House,27 Whittlesey Ave,"Norwalk, OH 44857",(419) 663-5282,1
All In One Occasions,3122 Harrison Ave,"Cincinnati, OH 45211",(513) 481-2200,1
China House,104 Front St,"Berea, OH 44017",(440) 816-9393,1
Remo's Pizza,1192 E Tallmadge Ave,"Akron, OH 44310",(330) 923-1222,1
China Taste,99 Huber Village Blvd,"Westerville, OH 43081",(614) 895-8382,1
Harrison Grill,420 S State St,"Harrison, OH 45030",(800) 275-8777,1
Gionino's Pizzeria,9750 Olde 8 Rd,"Northfield, OH 44067",(330) 468-6499,1
Asian Grill Buffet,8959 N State Route 66 Ste 105,"Defiance, OH 43512",(419) 782-8988,1
Dino's Pizza,4151 E Main St,"Columbus, OH 43213",(614) 235-6511,1
Burger King,4870 Monroe St,"Toledo, OH 43623",(419) 475-8504,1
Mr. Hero,523 E 185th St,"Cleveland, OH 44119",(216) 486-6900,1
Chipotle Mexican Grill,5555 Glenway Ave,"Cincinnati, OH 45238",(513) 451-2683,1
Krusinski Finest Meat Products,6300 Heisley Ave,"Cleveland, OH 44105",(216) 441-0100,1
Off Center Cafe,114 Harding Way W,"Galion, OH 44833",(419) 468-7033,1
Jim's Snack Bar,1622 Spielbusch Ave,"Toledo, OH 43604",(419) 241-5264,1
Carmino's Pizza,4728 Pearl Rd,"Cleveland, OH 44109",(216) 398-9365,1
Bakers Square,24025 Lorain Rd,"North Olmsted, OH 44070",(440) 777-0191,1
Rick's Sportsbar & Eatery,619 N Perry St,"Napoleon, OH 43545",(419) 592-7425,1
Cornerstone Pizza,14 W Main St,"Shiloh, OH 44878",(419) 896-2200,1
The European Cafe,9450 Montgomery Rd,"Montgomery, OH 45242",(513) 891-4551,1
Wah Yuen Restaurant,36 S Vernon St,"Sunbury, OH 43074",(740) 965-3060,1
Flying Burrito Cantina & Restaurant,1410 Hubbard Rd,"Madison, OH 44057",(440) 428-5258,1
Carnavellies Pizza & Pasta House,546 N Main St,"Marion, OH 43302",(740) 382-4554,1
Scrambler Maries,9600 Springboro Pike,"Miamisburg, OH 45342",(937) 439-2685,1
Kinslers Tavern,820 E Main St,"Springfield, OH 45503",(937) 323-9833,1
Brooks Homes Inc,675 Brook Holw,"Columbus, OH 43230",(614) 861-1514,1
Rinaldo's Bake Shoppe,910 W Fairview Ave,"Dayton, OH 45406",(937) 274-1311,1
Troyer's Home Pantry II,319 E North St,"Wooster, OH 44691",(330) 263-1990,1
Lucky's Cafe,777 Starkweather Ave,"Cleveland, OH 44113",(216) 622-7773,1
Hamburger Wagon,12 E Central Ave,"Miamisburg, OH 45342",(937) 847-2442,1
Dunkin',5431 N Bend Rd,"Cincinnati, OH 45247",(513) 481-1866,1
Dublin Pub,300 Wayne Ave,"Dayton, OH 45410",(937) 224-7822,1
Jac & Do's Of Arlington,635 N Main St,"Arlington, OH 45814",(419) 365-6415,1
Palarmo's,2667 S Dixie Dr,"Dayton, OH 45409",(937) 299-8888,1
Maggies Magic Muffins,7932 Southern Blvd,"Youngstown, OH 44512",(330) 965-7400,1
Ezio's Italian Restaurant & Catering,182 S Broadway Ave,"Salem, OH 44460",(330) 337-3872,1
Mack's Beverage,5358 Ridge Rd,"Cleveland, OH 44129",(440) 884-2680,1
First Watch Restaurant,19340 Detroit Rd,"Rocky River, OH 44116",(440) 333-3529,1
J Allens,121 N Ludlow St,"Dayton, OH 45402",(937) 222-4811,1
Bluewater Grill,461 Brodywood Dr,"Toledo, OH 43615",(419) 724-2583,1
Michael's Diner at Shaker Square,13051 Shaker Blvd,"Cleveland, OH 44120",(216) 752-0052,1
Dairy Queen Grill & Chill,920 High St,"Worthington, OH 43085",(614) 436-2253,1
Subway,6452 Winchester Blvd,"Canal Winchester, OH 43110",(614) 834-9667,1
Dave & Buster's Westlake - Cleveland,25735 1st St,"Westlake, OH 44145",(440) 892-1415,1
Hardee's,1271 Pearl Rd,"Brunswick, OH 44212",(330) 225-8921,1
Starbucks Coffee,2 Massillon Marketplace Dr SW,"Massillon, OH 44646",(330) 837-4842,1
Peppermills Your Family Restaurant,1425 Scott St,"Napoleon, OH 43545",(419) 592-3933,1
Pit Stop Drive-Thru and Carryout,777 E Main St,"Barnesville, OH 43713",(740) 425-4119,2
Calvino's Restaurant,3143 W Central Ave,"Toledo, OH 43606",(419) 531-5100,1
559 Cafe,31 North St,"North Lewisburg, OH 43060",(937) 747-2024,1
The Clubhouse,29 E 4th St,"Mansfield, OH 44902",(419) 775-5797,1
Nela Park Deli,2147 Noble Rd,"Cleveland, OH 44112",(216) 761-8903,1
Red Lobster,2147 S Hamilton Rd,"Columbus, OH 43232",(614) 864-3160,1
Mr. Hero,6409 Harvard Ave,"Cleveland, OH 44105",(216) 641-6860,1
Miller's Creamery,3220 Vine St SE,"New Philadelphia, OH 44663",(330) 339-2800,1
Oscar's of Dublin,84 N High St,"Dublin, OH 43017",(614) 792-3424,1
Pizza Hut,1240 N Court St,"Circleville, OH 43113",(740) 477-6005,1
Rudy's Hot Dog,3208 W Alexis Rd,"Toledo, OH 43613",(419) 471-9159,1
McDonald's,2373 Dayton Germantown Pike,"Germantown, OH 45327",(937) 855-7241,1
21 West Lounge,5605 Alexis Rd,"Sylvania, OH 43560",(419) 885-4308,1
China Dragon,103 E Main St,"Blanchester, OH 45107",(937) 783-5888,1
My Friends Deli & Restaurant,11616 Detroit Ave,"Cleveland, OH 44102",(216) 221-2575,1
Dairy Queen Grill & Chill,8895 Darrow Rd,"Twinsburg, OH 44087",(330) 425-4196,1
Gino's Pizza,1374 Copley Rd,"Akron, OH 44320",(330) 864-4600,1
O'Charley's,616 Ring Rd,"Harrison, OH 45030",(513) 367-2444,1
The Alcove Restaurant & Lounge,116 S Main St,"Mount Vernon, OH 43050",(740) 392-3076,1
Game On Bar & Grill,5880 Cheviot Rd,"Cincinnati, OH 45247",(513) 385-9999,1
Krinkle Krust Pizza & Ribs,10913 Prospect Rd,"Strongsville, OH 44149",(440) 238-5388,1
Sullivan Market,246 State Route 58,"Sullivan, OH 44880",(419) 736-3152,1
Domino's Pizza,527 5th St,"Beverly, OH 45715",(740) 984-1700,1
Regina Bakery,3805 Shady Ln,"North Bend, OH 45052",(513) 941-1585,1
Arby's,1630 N Main St,"North Canton, OH 44720",(330) 494-0649,1
Mikes Penn Grille,599 E State St,"Salem, OH 44460",(330) 332-4804,1
Samuel Adams Brewery Co,1625 Central Pkwy,"Cincinnati, OH 45214",(513) 412-3200,1
Marios Drive Thru,914 12th St NE,"Canton, OH 44704",(330) 452-8793,1
Long John Silver's,3560 Belmont Ave,"Youngstown, OH 44505",(330) 759-1328,1
Domino's Pizza,154 E South Boundary St Ste 10,"Perrysburg, OH 43551",(419) 874-9929,1
Dick's Carry-Out Liquor,1318 Tiffin Ave,"Sandusky, OH 44870",(419) 626-1783,1
Penn Station East Coast Subs,115 N Willow St,"Kent, OH 44240",(330) 678-7366,1
Front Street Cafe,120 Front St Ste 1,"New Richmond, OH 45157",(513) 553-4800,1
McDonald's,3900 Hauck Rd,"Sharonville, OH 45241",(513) 563-6090,1
The Cookie Shop,4279 Harrison Ave,"Cincinnati, OH 45211",(513) 471-4400,1
Italiano's Pizza,1951 Hubbard Rd,"Madison, OH 44057",(440) 417-0713,1
Farris's Drive-Thru Beverage,466 Prospect St,"Berea, OH 44017",(440) 243-3010,2
Arby's,786 W Ervin Rd,"Van Wert, OH 45891",(419) 238-7249,1
East of Chicago Pizza,267 E Center St,"Marion, OH 43302",(740) 387-9922,1
Donatos Pizza,6407 Glenway Ave,"Cincinnati, OH 45211",(513) 598-4200,1
Domino's Pizza,2049 Henderson Rd,"Columbus, OH 43220",(614) 459-0030,1
McDonald's,1805 N Scott St,"Napoleon, OH 43545",(419) 599-1192,1
Starbucks Coffee,3934 Taryn Trce Ste M1,"Zanesville, OH 43701",(740) 453-6858,1
Seven Hills Tavern,7265 Broadview Rd,"Seven Hills, OH 44131",(216) 524-1447,1
Burger King,101 Plaza Dr,"Saint Clairsville, OH 43950",(740) 695-6543,1
Old Man's Cave General Store,18809 State Route 664 S,"Logan, OH 43138",(740) 380-2564,1
China House,1220 N Shoop Ave,"Wauseon, OH 43567",(419) 335-8866,1
Subway,9500 Euclid Ave. Int'l Cafe Sydell & Arnold Miller Bldg.,"Cleveland, OH 44195",(216) 444-9845,1
Mario's International Spas & Hotels,35 East Garfield Rd.,"Aurora, OH 44202",(330) 562-9171,1
Cara Bar,115 Parsons Ave,"Columbus, OH 43215",(614) 223-1010,1
The Thurman Cafe,183 Thurman Ave,"Columbus, OH 43206",(614) 443-1570,1
Cousin Vinny's Pizza,1080 Kauffman Ave,"Fairborn, OH 45324",(937) 318-1000,1
Ten Mile Inn,7229 W Broad St,"Galloway, OH 43119",(614) 859-3467,1
Giovanni's Pizza,110 Bridge St,"Jackson, OH 45640",(740) 286-4126,1
Victory Lanes,1906 Commerce Cir,"Springfield, OH 45504",(937) 323-8684,1
Subway,301 N Detroit St,"West Liberty, OH 43357",(937) 465-0177,1
Brothers Pizza Vienna,4357 Warren Sharon Rd,"Vienna, OH 44473",(330) 394-2733,1
Waffle House,4140 Marlane Dr,"Grove City, OH 43123",(614) 539-0610,1
Arby's,6271 Glenway Ave,"Cincinnati, OH 45211",(513) 661-0088,1
Elsa's South,6318 Far Hills Ave,"Dayton, OH 45459",(937) 439-3897,1
Detroit Stop,2516 N Detroit Ave,"Toledo, OH 43610",(419) 242-5474,1
Super Subby's,276 W Central Ave,"Springboro, OH 45066",(937) 748-0484,1
Weber's Bar,51 W Main St,"Shelby, OH 44875",(419) 342-6106,1
Teresa's Pizza,9783 Ravenna Rd,"Twinsburg, OH 44087",(330) 963-0900,1
LITTLE DONNIES PIZZA,64 Long St,"Ashville, OH 43103",(740) 954-3136,1
Wayne Street Bar & Grill,1040 S Wayne St,"Saint Marys, OH 45885",(419) 778-7029,1
Qdoba Mexican Grill,5063 N High St,"Columbus, OH 43214",(614) 987-6426,1
Ming Moon Chinese Restaurant,12758 Royalton Rd,"North Royalton, OH 44133",(440) 877-2238,1
Taco Bell,2145 June Pkwy,"Zanesville, OH 43701",(740) 453-9824,1
Drink & Deli,612 N Warpole St,"Upper Sandusky, OH 43351",(419) 294-1449,1
El Salto Authentic Mexican,219 Golden Gate Plz,"Maumee, OH 43537",(419) 887-0211,1
The Cruise Inn,695 Northland Blvd,"Cincinnati, OH 45240",(513) 742-3333,1
Subway,622 South Ave,"Tallmadge, OH 44278",(330) 633-1741,1
Chipotle Mexican Grill,350 Cincinnati Mills Dr,"Cincinnati, OH 45240",(513) 671-3000,1
Subway,1521 Lexington Ave,"Mansfield, OH 44907",(419) 756-0700,1
Koyote's,320 E Wapakoneta St,"Waynesfield, OH 45896",(419) 568-2800,1
Outback Steakhouse,4920 Milan Rd,"Sandusky, OH 44870",(419) 609-9226,1
China Wok,489 N Perry St,"Ottawa, OH 45875",(419) 523-3886,1
Domino's Pizza,100 N Main St,"Monroe, OH 45050",(513) 539-2525,2
Variety's Restaurant,1286 S Main St,"North Canton, OH 44720",(330) 305-9670,1
Thai Taste,1178 Kenny Centre Mall,"Columbus, OH 43220",(614) 451-7605,1
Cherry Valley Slaughtering & Processing,4345 Piper Rd,"Dorset, OH 44032",(440) 293-7832,1
Martini Farm,8737 Mayfield Rd,"Chesterland, OH 44026",(440) 729-0505,1
McDonald's,2776 Colonel Glenn Hwy,"Beavercreek, OH 45324",(937) 427-0723,1
IHOP,3511 Steelyard Dr,"Cleveland, OH 44109",(216) 741-0407,1
Settle Inn,703 Lake Ave,"Elyria, OH 44035",(440) 323-5966,1
Baires Deli,131 S Main St,"Marion, OH 43302",(740) 383-3999,1
Noni's,4042 Belmont Ave,"Youngstown, OH 44505",(330) 759-0300,1
Obee's Deli Market,2319 US Highway 23 N,"Delaware, OH 43015",(740) 369-0094,1
Applebee's,4115 Pearl Rd,"Medina, OH 44256",(330) 723-2311,1
Boi Na Braza Brazilian Steak House,441 Vine St,"Cincinnati, OH 45202",(513) 421-7111,1
Subway,3433 State Route 49,"Arcanum, OH 45304",(937) 692-6220,1
Popeyes Louisiana Kitchen,8834 Lake Rd,"Seville, OH 44273",(330) 769-2053,2
Dunkin',880 State Route 28,"Milford, OH 45150",(513) 831-5916,1
Pappasito's Cantina,275 Pictoria Dr,"Cincinnati, OH 45246",(513) 671-3928,1
Mark Pi's Express,1290 W 5th Ave,"Columbus, OH 43212",(614) 488-6336,1
Sunrise Cafe,5367 Lake Rd E,"Geneva, OH 44041",(440) 466-8667,1
Y-Inn,7912 State Route 7,"Rogers, OH 44455",(330) 227-3320,1
Subway,1375 E Main St,"Versailles, OH 45380",(937) 526-5487,1
Hardee's,2333 E High Ave,"New Philadelphia, OH 44663",(330) 339-1944,1
Charly's Family Restaurant,4455 Kirk Rd,"Youngstown, OH 44515",(330) 799-5569,1
Chili Verde Cafe,375 Stoneridge Ln,"Columbus, OH 43230",(614) 478-6525,1
Chopstix Restaurant,8001 Hills And Dales Rd NW,"Massillon, OH 44646",(330) 834-9688,1
Dagwoods Cafe Deli,841 Boulevard St,"Dover, OH 44622",(330) 364-6066,1
Double E Cafe,396 W Main St,"Williamsburg, OH 45176",(513) 724-9908,1
Shady Spot Tavern & Grill,3826 Central Ave,"Shadyside, OH 43947",(740) 671-9054,1
Bobby De's Gateway,25700 Aurora Rd,"Bedford, OH 44146",(440) 439-2400,1
McDonald's,1020 Alum Creek Dr,"Columbus, OH 43209",(614) 252-8336,1
Starbucks Coffee,1150 Smiley Ave,"Cincinnati, OH 45240",(513) 648-9816,1
Yangtze Chinese Restaurant,133 Main St,"Chardon, OH 44024",(440) 285-3739,1
Kelley's Cafe,105 W Washington St,"Jamestown, OH 45335",(937) 675-3663,1
El Tango Taqueria,14224 Madison Ave,"Lakewood, OH 44107",(216) 226-9999,1
Covered Bridge Pizza,4861 N Ridge Rd W,"Ashtabula, OH 44004",(440) 969-1000,1
Super Subby's,8924 N Dixie Dr,"Dayton, OH 45414",(937) 898-0996,1
Larry's Pizza & Wings,36 S London St,"Mount Sterling, OH 43143",(740) 869-2590,1
Camp Washington Chili Inc,HOPPLE & Colerain,"Camp Washington, OH 45225",(513) 541-0061,1
O'Charley's,1650 Georgesville Square Dr,"Columbus, OH 43228",(614) 853-2748,1
Qdoba Mexican Grill,21605 Center Ridge Rd,"Rocky River, OH 44116",(440) 356-4290,1
Cocca's Pizza,76 N Broad St,"Canfield, OH 44406",(330) 702-0888,1
tuckerstavern,914 henley st,"Toronto, OH 43964",(740) 537-2209,1
McDonald's,1006 S High St,"Columbus, OH 43206",(614) 324-2380,1
The Top Steak House,2891 E Main St,"Columbus, OH 43209",(614) 231-8238,1
Dairy Queen Grill & Chill,148 E State St,"Niles, OH 44446",(330) 652-9213,1
Kfc,3663 S High St,"Columbus, OH 43207",(614) 491-8156,1
Domino's Pizza,509 S Main St,"Bellefontaine, OH 43311",(937) 592-1005,1
Eddie George's Grille 27,1636 N High St,"Columbus, OH 43201",(614) 421-2727,1
